Series Number,Filename,Description,Gender,Hash
21,abdul-the-vibe,abdul the life of the party and can never be caught unfresh,male,6f4b6612125fb3a0daecd2799dfd6c9c299424fd920f9b308110a2c1fbd8f443
Series Number,Filename,Description,Gender,Hash
22,emeka-the -clown,"emeka the funny man, always making silly jokes",male,785f3ec7eb32f30b90cd0fcf3657d388b5ff4297f2f9716ff66e9b69c05ddd09
Series Number,Filename,Description,Gender,Hash
23,salam-the-odogwu,salam is a big time textile marketer always sourcing for quality materials ,male,535fa30d7e25dd8a49f1536779734ec8286108d115da5045d77f3b4185d8f790
Series Number,Filename,Description,Gender,Hash
24,charles-the-exporter,charles a business man an importer and exporter never to be caught idle,male,c2356069e9d1e79ca924378153cfbbfb4d4416b1f99d41a2940bfdb66c5319db
Series Number,Filename,Description,Gender,Hash
25,wole-the-pimp,wole knows all the babes in town and is always pimping them out,male,b7a56873cd771f2c446d369b649430b65a756ba278ff97ec81bb6f55b2e73569
Series Number,Filename,Description,Gender,Hash
26,saro-the-baller,saro is a baller and is always ready to turnup,male,5f9c4ab08cac7457e9111a30e4664920607ea2c115a1433d7be98e97e64244ca
Series Number,Filename,Description,Gender,Hash
27,ade-omo-yoruba,ade a yourba man takes pride in the yourba tribe,male,670671cd97404156226e507973f2ab8330d3022ca96e0c93bdbdb320c41adcaf
Series Number,Filename,Description,Gender,Hash
28,shola-cool-kid,shola prefers to be alone because he hates stress,male,59e19706d51d39f66711c2653cd7eb1291c94d9b55eb14bda74ce4dc636d015a
Series Number,Filename,Description,Gender,Hash
29,charlie-the-smoker,charlie uses smoking as a coping mechanism ,male,35135aaa6cc23891b40cb3f378c53a17a1127210ce60e125ccf03efcfdaec458
Series Number,Filename,Description,Gender,Hash
30,femi-the-badguy,femi is the biggest guy in lagos and he has served plenty babes breakfast,male,624b60c58c9d8bfb6ff1886c2fd605d2adeb6ea4da576068201b6c6958ce93f4
Series Number,Filename,Description,Gender,Hash
31,sinzu-money,sinzu loves spending money on flashy things,male,eb1e33e8a81b697b75855af6bfcdbcbf7cbbde9f94962ceaec1ed8af21f5a50f
Series Number,Filename,Description,Gender,Hash
32,obinna-the-palmwine tapper,obinna taps palmwine for a living,male,e29c9c180c6279b0b02abd6a1801c7c04082cf486ec027aa13515e4f3884bb6b
Series Number,Filename,Description,Gender,Hash
33,aminu-maikudi,aminu is a wealthy man from a family with generational wealth. His exquisite taste shows it,male,c6f3ac57944a531490cd39902d0f777715fd005efac9a30622d5f5205e7f6894
Series Number,Filename,Description,Gender,Hash
34,sabinus-the-town crier,sabinus delivers messages to his town people,male,86e50149658661312a9e0b35558d84f6c6d3da797f552a9657fe0558ca40cdef
Series Number,Filename,Description,Gender,Hash
35,adisa-ibadan,"adisa the greatest man in the whole town of ibadan, is authority can never be questioned",male,9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953
Series Number,Filename,Description,Gender,Hash
36,linda-the-navigator,linda knows how to make a way for herself and people around her,female,76a50887d8f1c2e9301755428990ad81479ee21c25b43215cf524541e0503269
Series Number,Filename,Description,Gender,Hash
37,kemi-the-iron lady,kemi the strongest woman known to the town of  igbede people,female,7a61b53701befdae0eeeffaecc73f14e20b537bb0f8b91ad7c2936dc63562b25
Series Number,Filename,Description,Gender,Hash
38,mercy-the-sassy lady,mercy only care about spending her father's money and treats people like trash,female,aea92132c4cbeb263e6ac2bf6c183b5d81737f179f21efdc5863739672f0f470
Series Number,Filename,Description,Gender,Hash
39,sandra-money,sandra likes getting and spending money ,female,0b918943df0962bc7a1824c0555a389347b4febdc7cf9d1254406d80ce44e3f9
Series Number,Filename,Description,Gender,Hash
40,bimpe-the-fashionista,bimpe loves wearing trendy clothes and looking gorgeous,female,d59eced1ded07f84c145592f65bdf854358e009c5cd705f5215bf18697fed103
